 0.1320000E+00 -0.3655472E+01 -0.3082817E+01 -0.2507769E+01 -0.1932914E+01 -0.1358106E+01 -0.7832268E+00 -0.2082536E+00  0.3668069E+00  0.9418754E+00  0.1516902E+01  0.2091994E+01  0.2664268E+01
 0.1340000E+00 -0.3655278E+01 -0.3082679E+01 -0.2507630E+01 -0.1932779E+01 -0.1357975E+01 -0.7830981E+00 -0.2081245E+00  0.3669390E+00  0.9420109E+00  0.1517040E+01  0.2092134E+01  0.2664342E+01
 0.1360000E+00 -0.3655082E+01 -0.3082539E+01 -0.2507489E+01 -0.1932641E+01 -0.1357842E+01 -0.7829675E+00 -0.2079935E+00  0.3670731E+00  0.9421484E+00  0.1517179E+01  0.2092276E+01  0.2664417E+01
 0.1380000E+00 -0.3654883E+01 -0.3082397E+01 -0.2507346E+01 -0.1932501E+01 -0.1357707E+01 -0.7828350E+00 -0.2078606E+00  0.3672091E+00  0.9422879E+00  0.1517321E+01  0.2092420E+01  0.2664494E+01
 0.1400000E+00 -0.3654683E+01 -0.3082253E+01 -0.2507201E+01 -0.1932360E+01 -0.1357570E+01 -0.7827007E+00 -0.2077258E+00  0.3673471E+00  0.9424294E+00  0.1517465E+01  0.2092565E+01  0.2664573E+01
 0.1420000E+00 -0.3654480E+01 -0.3082107E+01 -0.2507054E+01 -0.1932216E+01 -0.1357431E+01 -0.7825644E+00 -0.2075890E+00  0.3674870E+00  0.9425729E+00  0.1517610E+01  0.2092713E+01  0.2664653E+01
 0.1440000E+00 -0.3654275E+01 -0.3081959E+01 -0.2506905E+01 -0.1932070E+01 -0.1357290E+01 -0.7824262E+00 -0.2074504E+00  0.3676289E+00  0.9427184E+00  0.1517758E+01  0.2092863E+01  0.2664736E+01
 0.1460000E+00 -0.3654068E+01 -0.3081809E+01 -0.2506754E+01 -0.1931923E+01 -0.1357147E+01 -0.7822861E+00 -0.2073098E+00  0.3677727E+00  0.9428659E+00  0.1517908E+01  0.2093015E+01  0.2664821E+01
 0.1480000E+00 -0.3653859E+01 -0.3081656E+01 -0.2506601E+01 -0.1931773E+01 -0.1357002E+01 -0.7821441E+00 -0.2071673E+00  0.3679185E+00  0.9430155E+00  0.1518060E+01  0.2093168E+01  0.2664907E+01
 0.1500000E+00 -0.3653648E+01 -0.3081502E+01 -0.2506446E+01 -0.1931621E+01 -0.1356855E+01 -0.7820001E+00 -0.2070230E+00  0.3680663E+00  0.9431670E+00  0.1518214E+01  0.2093324E+01  0.2664996E+01
