-0.6000000E+01 -0.6000000E+01  0.5152176-173
-0.4424242E+01 -0.5636364E+01  0.6610753-117
-0.4303030E+01 -0.5636364E+01  0.3285891-114
-0.4181818E+01 -0.5636364E+01  0.1291107-111
-0.4060606E+01 -0.5636364E+01  0.4010315-109
-0.3939394E+01 -0.5636364E+01  0.9846946-107
-0.3818182E+01 -0.5636364E+01  0.1911312-104
-0.3696970E+01 -0.5636364E+01  0.2932707-102
-0.3575758E+01 -0.5636364E+01  0.3557239-100
-0.3454545E+01 -0.5636364E+01  0.3410869E-98
-0.3333333E+01 -0.5636364E+01  0.2585385E-96
-0.3212121E+01 -0.5636364E+01  0.1549156E-94
-0.3090909E+01 -0.5636364E+01  0.7337990E-93
-0.2969697E+01 -0.5636364E+01  0.2747746E-91
-0.2848485E+01 -0.5636364E+01  0.8133994E-90
-0.2727273E+01 -0.5636364E+01  0.1903615E-88
-0.2606061E+01 -0.5636364E+01  0.3522433E-87
-0.2484848E+01 -0.5636364E+01  0.5154352E-86
-0.2363636E+01 -0.5636364E+01  0.5966641E-85
-0.2242424E+01 -0.5636364E+01  0.5467888E-84
-0.2121212E+01 -0.5636364E+01  0.3972385E-83
-0.2000000E+01 -0.5636364E+01  0.2294120E-82
-0.1878788E+01 -0.5636364E+01  0.1058827E-81
-0.1757576E+01 -0.5636364E+01  0.3945300E-81
-0.1636364E+01 -0.5636364E+01  0.1209154E-80
-0.1515152E+01 -0.5636364E+01  0.3147553E-80
-0.1393939E+01 -0.5636364E+01  0.7307508E-80
-0.1272727E+01 -0.5636364E+01  0.1605785E-79
-0.1151515E+01 -0.5636364E+01  0.3502684E-79
-0.1030303E+01 -0.5636364E+01  0.7659783E-79
-0.9090909E+00 -0.5636364E+01  0.1634654E-78
-0.7878788E+00 -0.5636364E+01  0.3292068E-78
-0.6666667E+00 -0.5636364E+01  0.6192795E-78
-0.5454545E+00 -0.5636364E+01  0.1111984E-77
-0.4242424E+00 -0.5636364E+01  0.1979751E-77
-0.3030303E+00 -0.5636364E+01  0.3573194E-77
-0.1818182E+00 -0.5636364E+01  0.6441787E-77
-0.6060606E-01 -0.5636364E+01  0.1116765E-76
 0.6060606E-01 -0.5636364E+01  0.1809481E-76
 0.1818182E+00 -0.5636364E+01  0.2746447E-76
 0.3030303E+00 -0.5636364E+01  0.4029505E-76
 0.4242424E+00 -0.5636364E+01  0.5927667E-76
 0.5454545E+00 -0.5636364E+01  0.8827275E-76
 0.6666667E+00 -0.5636364E+01  0.1295803E-75
 0.7878788E+00 -0.5636364E+01  0.1805012E-75
 0.9090909E+00 -0.5636364E+01  0.2342420E-75
 0.1030303E+01 -0.5636364E+01  0.2873421E-75
