 0.4400000E+02  0.3760959E+02 -0.3977346E+01  0.1506230E+02  0.4869454E+02
 0.4440000E+02  0.3746466E+02 -0.3977241E+01  0.1506380E+02  0.4855122E+02
 0.4480000E+02  0.3731908E+02 -0.3977135E+01  0.1506531E+02  0.4840726E+02
 0.4520000E+02  0.3717293E+02 -0.3977029E+01  0.1506683E+02  0.4826273E+02
 0.4560000E+02  0.3702625E+02 -0.3976921E+01  0.1506827E+02  0.4811760E+02
 0.4600000E+02  0.3687910E+02 -0.3976813E+01  0.1506975E+02  0.4797204E+02
 0.4640000E+02  0.3673152E+02 -0.3976704E+01  0.1507120E+02  0.4782602E+02
 0.4680000E+02  0.3658358E+02 -0.3976594E+01  0.1507264E+02  0.4767962E+02
 0.4720000E+02  0.3643530E+02 -0.3976484E+01  0.1507403E+02  0.4753284E+02
 0.4760000E+02  0.3628674E+02 -0.3976373E+01  0.1507542E+02  0.4738578E+02
 0.4800000E+02  0.3613793E+02 -0.3976261E+01  0.1507678E+02  0.4723845E+02
 0.4840000E+02  0.3598893E+02 -0.3976148E+01  0.1507819E+02  0.4709097E+02
 0.4880000E+02  0.3583976E+02 -0.3976035E+01  0.1507952E+02  0.4694325E+02
 0.4920000E+02  0.3569047E+02 -0.3975922E+01  0.1508084E+02  0.4679538E+02
 0.4960000E+02  0.3554109E+02 -0.3975807E+01  0.1508212E+02  0.4664740E+02
 0.5000000E+02  0.3539165E+02 -0.3975692E+01  0.1508346E+02  0.4649942E+02
 0.5040000E+02  0.3524218E+02 -0.3975576E+01  0.1508475E+02  0.4635136E+02
 0.5080000E+02  0.3509273E+02 -0.3975460E+01  0.1508598E+02  0.4620325E+02
 0.5120000E+02  0.3494331E+02 -0.3975343E+01  0.1508726E+02  0.4605522E+02
 0.5160000E+02  0.3479395E+02 -0.3975226E+01  0.1508843E+02  0.4590716E+02
 0.5200000E+02  0.3464469E+02 -0.3975107E+01  0.1508965E+02  0.4575924E+02
 0.5240000E+02  0.3449555E+02 -0.3974989E+01  0.1509087E+02  0.4561143E+02
 0.5280000E+02  0.3434654E+02 -0.3974869E+01  0.1509201E+02  0.4546369E+02
 0.5320000E+02  0.3419771E+02 -0.3974750E+01  0.1509316E+02  0.4531611E+02
 0.5360000E+02  0.3404906E+02 -0.3974629E+01  0.1509438E+02  0.4516881E+02
 0.5400000E+02  0.3390062E+02 -0.3974508E+01  0.1509552E+02  0.4502164E+02
 0.5440000E+02  0.3375241E+02 -0.3974387E+01  0.1509658E+02  0.4487460E+02
 0.5480000E+02  0.3360446E+02 -0.3974265E+01  0.1509770E+02  0.4472789E+02
 0.5520000E+02  0.3345677E+02 -0.3974142E+01  0.1509880E+02  0.4458143E+02
 0.5560000E+02  0.3330937E+02 -0.3974019E+01  0.1509988E+02  0.4443523E+02
 0.5600000E+02  0.3316227E+02 -0.3973896E+01  0.1510091E+02  0.4428929E+02
 0.5640000E+02  0.3301550E+02 -0.3973771E+01  0.1510195E+02  0.4414367E+02
 0.5680000E+02  0.3286906E+02 -0.3973647E+01  0.1510299E+02  0.4399840E+02
 0.5720000E+02  0.3272297E+02 -0.3973522E+01  0.1510401E+02  0.4385346E+02
 0.5760000E+02  0.3257725E+02 -0.3973396E+01  0.1510505E+02  0.4370890E+02
 0.5800000E+02  0.3243191E+02 -0.3973270E+01  0.1510605E+02  0.4356469E+02
 0.5840000E+02  0.3228696E+02 -0.3973144E+01  0.1510701E+02  0.4342083E+02
 0.5880000E+02  0.3214241E+02 -0.3973017E+01  0.1510799E+02  0.4327739E+02
 0.5920000E+02  0.3199829E+02 -0.3972889E+01  0.1510899E+02  0.4313438E+02
 0.5960000E+02  0.3185459E+02 -0.3972761E+01  0.1510995E+02  0.4299178E+02
 0.6000000E+02  0.3171132E+02 -0.3972633E+01  0.1511086E+02  0.4284956E+02
